Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
-0.612,Wed Oct 03 07:04:08 +0000 2018,0.192,0.808,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to g… https://t.co/BmSAy8zQJP",1
0.0,Wed Oct 03 06:08:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi",2
0.0,Tue Oct 02 19:02:07 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi",3
-0.802,Tue Oct 02 17:55:03 +0000 2018,0.427,0.573,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,4
0.402,Tue Oct 02 17:06:06 +0000 2018,0.0,0.803,0.197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K",5
0.557,Tue Oct 02 16:06:02 +0000 2018,0.0,0.816,0.184,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",6
-0.273,Tue Oct 02 14:06:04 +0000 2018,0.242,0.554,0.204,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u,7
0.599,Tue Oct 02 13:05:03 +0000 2018,0.0,0.795,0.205,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh",8
0.0,Tue Oct 02 12:05:04 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn",9
0.572,Tue Oct 02 10:47:27 +0000 2018,0.0,0.829,0.171,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉… https://t.co/hGIojnR1W0",10
0.0,Tue Oct 02 10:27:17 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…",11
0.67,Tue Oct 02 10:16:58 +0000 2018,0.0,0.728,0.272,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",12
-0.67,Tue Oct 02 09:22:00 +0000 2018,0.231,0.769,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic… https://t.co/WmFqGMo8Es",13
0.0,Tue Oct 02 09:10:44 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC,14
-0.796,Tue Oct 02 08:00:09 +0000 2018,0.321,0.679,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA",15
0.0,Tue Oct 02 07:05:06 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG",16
-0.649,Tue Oct 02 06:09:05 +0000 2018,0.202,0.798,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO",17
-0.128,Mon Oct 01 19:00:01 +0000 2018,0.081,0.919,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX,18
0.0,Mon Oct 01 17:16:04 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z",19
0.751,Mon Oct 01 16:05:44 +0000 2018,0.0,0.738,0.262,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…",20
